Date,Country,Product,Price
06/10/2025,SE,euro95,1422.9
06/10/2025,SE,diesel,1475.9
06/10/2025,SE,heading_oil,1179.2
06/10/2025,SE,fuel_oil_1,846.7
06/10/2025,SE,fuel_oil_2,
06/10/2025,SE,LPG,
06/10/2025,SI,exchange_rate,1
06/10/2025,SI,euro95,1463.9
06/10/2025,SI,diesel,1488.8
06/10/2025,SI,heading_oil,1131.1
06/10/2025,SI,fuel_oil_1,
06/10/2025,SI,fuel_oil_2,
06/10/2025,SI,LPG,884.7
06/10/2025,SK,exchange_rate,1
06/10/2025,SK,euro95,1516
06/10/2025,SK,diesel,1470
06/10/2025,SK,heading_oil,
06/10/2025,SK,fuel_oil_1,603.6
06/10/2025,SK,fuel_oil_2,597
06/10/2025,SK,LPG,673
29/09/2025,EU,exchange_rate,1629.53
29/09/2025,EU,euro95,1543.17
29/09/2025,EU,diesel,965.82
29/09/2025,EU,heading_oil,671.05
29/09/2025,EU,fuel_oil_1,459.8
29/09/2025,EU,fuel_oil_2,669.64
29/09/2025,EUR,exchange_rate,1677.54
29/09/2025,EUR,euro95,1568.93
29/09/2025,EUR,diesel,949.76
29/09/2025,EUR,heading_oil,625.12
29/09/2025,EUR,fuel_oil_1,416.39
29/09/2025,EUR,fuel_oil_2,732.76
29/09/2025,AT,exchange_rate,1512
29/09/2025,AT,euro95,1518
29/09/2025,AT,diesel,1088.5
29/09/2025,AT,heading_oil,
29/09/2025,AT,fuel_oil_1,
29/09/2025,AT,fuel_oil_2,
29/09/2025,BE,exchange_rate,1533.9
29/09/2025,BE,euro95,1637.9
29/09/2025,BE,diesel,812.2
29/09/2025,BE,heading_oil,413.8
29/09/2025,BE,fuel_oil_1,
29/09/2025,BE,fuel_oil_2,789
29/09/2025,BG,exchange_rate,0.511299724
29/09/2025,BG,euro95,1217.8
29/09/2025,BG,diesel,1203.7
29/09/2025,BG,heading_oil,
29/09/2025,BG,fuel_oil_1,
29/09/2025,BG,fuel_oil_2,
29/09/2025,BG,LPG,539.8
29/09/2025,CY,exchange_rate,1
29/09/2025,CY,euro95,1353.6
29/09/2025,CY,diesel,1442.9
29/09/2025,CY,heading_oil,1004.8
29/09/2025,CY,fuel_oil_1,819.6
29/09/2025,CY,fuel_oil_2,
29/09/2025,CY,LPG,
29/09/2025,CZ,exchange_rate,0.041148877
29/09/2025,CZ,euro95,1414.9
29/09/2025,CZ,diesel,1369.8
29/09/2025,CZ,heading_oil,853
29/09/2025,CZ,fuel_oil_1,
29/09/2025,CZ,fuel_oil_2,
29/09/2025,CZ,LPG,695.5
29/09/2025,DE,exchange_rate,1717
29/09/2025,DE,euro95,1592
29/09/2025,DE,diesel,930.9
29/09/2025,DE,heading_oil,
29/09/2025,DE,fuel_oil_1,
29/09/2025,DE,fuel_oil_2,1019.8
29/09/2025,DK,exchange_rate,0.133965651
29/09/2025,DK,euro95,1953.2
29/09/2025,DK,diesel,1768.3
29/09/2025,DK,heading_oil,1775.3
29/09/2025,DK,fuel_oil_1,1537.5
29/09/2025,DK,fuel_oil_2,
29/09/2025,DK,LPG,
29/09/2025,EE,exchange_rate,1
29/09/2025,EE,euro95,1415
29/09/2025,EE,diesel,1287
29/09/2025,EE,heading_oil,1003
29/09/2025,EE,fuel_oil_1,
29/09/2025,EE,fuel_oil_2,
29/09/2025,EE,LPG,896
29/09/2025,ES,exchange_rate,1482.2
29/09/2025,ES,euro95,1411.3
29/09/2025,ES,diesel,898.6
29/09/2025,ES,heading_oil,563.6
29/09/2025,ES,fuel_oil_1,
29/09/2025,ES,fuel_oil_2,938.7
29/09/2025,FI,exchange_rate,1743
29/09/2025,FI,euro95,1657
29/09/2025,FI,diesel,1293
29/09/2025,FI,heading_oil,
29/09/2025,FI,fuel_oil_1,
29/09/2025,FI,fuel_oil_2,
29/09/2025,FR,exchange_rate,1725.2
29/09/2025,FR,euro95,1620.9
29/09/2025,FR,diesel,1118.3
29/09/2025,FR,heading_oil,
29/09/2025,FR,fuel_oil_1,
29/09/2025,FR,fuel_oil_2,953.6
29/09/2025,GR,exchange_rate,1756
29/09/2025,GR,euro95,1546
29/09/2025,GR,diesel,
29/09/2025,GR,heading_oil,667.8
29/09/2025,GR,fuel_oil_1,
29/09/2025,GR,fuel_oil_2,
29/09/2025,HR,exchange_rate,1
29/09/2025,HR,euro95,1479
29/09/2025,HR,diesel,1439
29/09/2025,HR,heading_oil,870
29/09/2025,HR,fuel_oil_1,604.6
29/09/2025,HR,fuel_oil_2,
29/09/2025,HR,LPG,852
29/09/2025,HU,exchange_rate,0.002557022
29/09/2025,HU,euro95,1491.2
29/09/2025,HU,diesel,1507.3
29/09/2025,HU,heading_oil,1507.3
29/09/2025,HU,fuel_oil_1,934.8
29/09/2025,HU,fuel_oil_2,
29/09/2025,HU,LPG,830.9
29/09/2025,IE,exchange_rate,1713.1
29/09/2025,IE,euro95,1661.4
29/09/2025,IE,diesel,955.6
29/09/2025,IE,heading_oil,951.9
29/09/2025,IE,fuel_oil_1,
29/09/2025,IE,fuel_oil_2,
29/09/2025,IT,exchange_rate,1711.7
29/09/2025,IT,euro95,1637.7
29/09/2025,IT,diesel,1395.5
29/09/2025,IT,heading_oil,542.1
29/09/2025,IT,fuel_oil_1,
29/09/2025,IT,fuel_oil_2,696.2
29/09/2025,LT,exchange_rate,1
29/09/2025,LT,euro95,1405.6
29/09/2025,LT,diesel,1482.1
29/09/2025,LT,heading_oil,869.5
29/09/2025,LT,fuel_oil_1,
29/09/2025,LT,fuel_oil_2,
29/09/2025,LT,LPG,658.8
29/09/2025,LU,exchange_rate,1491
29/09/2025,LU,euro95,1454
29/09/2025,LU,diesel,890
29/09/2025,LU,heading_oil,
29/09/2025,LU,fuel_oil_1,
29/09/2025,LU,fuel_oil_2,687
29/09/2025,LV,exchange_rate,1
29/09/2025,LV,euro95,1538.4
29/09/2025,LV,diesel,1517.6
29/09/2025,LV,heading_oil,1270.2
29/09/2025,LV,fuel_oil_1,
29/09/2025,LV,fuel_oil_2,
29/09/2025,LV,LPG,897.3
29/09/2025,MT,exchange_rate,1340
29/09/2025,MT,euro95,1210
29/09/2025,MT,diesel,1000
29/09/2025,MT,heading_oil,
29/09/2025,MT,fuel_oil_1,
29/09/2025,MT,fuel_oil_2,
29/09/2025,NL,exchange_rate,1947
29/09/2025,NL,euro95,1720
29/09/2025,NL,diesel,
29/09/2025,NL,heading_oil,
29/09/2025,NL,fuel_oil_1,
29/09/2025,NL,fuel_oil_2,764
29/09/2025,PL,exchange_rate,0.234219464
29/09/2025,PL,euro95,1387.4
29/09/2025,PL,diesel,1403.6
29/09/2025,PL,heading_oil,982
29/09/2025,PL,fuel_oil_1,570.1
29/09/2025,PL,fuel_oil_2,462.2
29/09/2025,PL,LPG,620.5
29/09/2025,PT,exchange_rate,1707
29/09/2025,PT,euro95,1572
29/09/2025,PT,diesel,1523
29/09/2025,PT,heading_oil,936
29/09/2025,PT,fuel_oil_1,
29/09/2025,PT,fuel_oil_2,813
29/09/2025,RO,exchange_rate,0.196916291
29/09/2025,RO,euro95,1493.3
29/09/2025,RO,diesel,1533.4
29/09/2025,RO,heading_oil,889.3
29/09/2025,RO,fuel_oil_1,606.1
29/09/2025,RO,fuel_oil_2,
29/09/2025,RO,LPG,716.3
29/09/2025,SE,exchange_rate,0.090661831
29/09/2025,SE,euro95,1438.3
29/09/2025,SE,diesel,1525.9
29/09/2025,SE,heading_oil,1199
29/09/2025,SE,fuel_oil_1,852.3
29/09/2025,SE,fuel_oil_2,
29/09/2025,SE,LPG,
29/09/2025,SI,exchange_rate,1
29/09/2025,SI,euro95,1460.3
29/09/2025,SI,diesel,1486.8
29/09/2025,SI,heading_oil,1128.8
29/09/2025,SI,fuel_oil_1,
29/09/2025,SI,fuel_oil_2,
29/09/2025,SI,LPG,886
29/09/2025,SK,exchange_rate,1
29/09/2025,SK,euro95,1522
29/09/2025,SK,diesel,1459
29/09/2025,SK,heading_oil,
29/09/2025,SK,fuel_oil_1,596.5
29/09/2025,SK,fuel_oil_2,589.9
29/09/2025,SK,LPG,674
22/09/2025,EU,exchange_rate,1629.50
22/09/2025,EU,euro95,1537.08
22/09/2025,EU,diesel,960.31
22/09/2025,EU,heading_oil,665.76
22/09/2025,EU,fuel_oil_1,440.62
22/09/2025,EU,fuel_oil_2,665.99
22/09/2025,EUR,exchange_rate,1678.69
22/09/2025,EUR,euro95,1565.08
22/09/2025,EUR,diesel,944.73
22/09/2025,EUR,heading_oil,619.54
22/09/2025,EUR,fuel_oil_1,416.76
22/09/2025,EUR,fuel_oil_2,732.78
22/09/2025,AT,exchange_rate,1506
22/09/2025,AT,euro95,1514
22/09/2025,AT,diesel,1074.8
22/09/2025,AT,heading_oil,
22/09/2025,AT,fuel_oil_1,
22/09/2025,AT,fuel_oil_2,
22/09/2025,BE,exchange_rate,1533.9
22/09/2025,BE,euro95,1627.9
22/09/2025,BE,diesel,788.6
22/09/2025,BE,heading_oil,407.5
22/09/2025,BE,fuel_oil_1,
22/09/2025,BE,fuel_oil_2,789
22/09/2025,BG,exchange_rate,0.511299724
22/09/2025,BG,euro95,1331.4
22/09/2025,BG,diesel,1210.2
22/09/2025,BG,heading_oil,
22/09/2025,BG,fuel_oil_1,
22/09/2025,BG,fuel_oil_2,
22/09/2025,BG,LPG,543.5
22/09/2025,CY,exchange_rate,1
22/09/2025,CY,euro95,1350.3
22/09/2025,CY,diesel,1440.4
22/09/2025,CY,heading_oil,1005.2
22/09/2025,CY,fuel_oil_1,819.6
22/09/2025,CY,fuel_oil_2,
22/09/2025,CY,LPG,
22/09/2025,CZ,exchange_rate,0.041228613
22/09/2025,CZ,euro95,1416.7
22/09/2025,CZ,diesel,1370.8
22/09/2025,CZ,heading_oil,853.1
22/09/2025,CZ,fuel_oil_1,
22/09/2025,CZ,fuel_oil_2,
22/09/2025,CZ,LPG,696.8
22/09/2025,DE,exchange_rate,1715
22/09/2025,DE,euro95,1584
22/09/2025,DE,diesel,933.2
22/09/2025,DE,heading_oil,
22/09/2025,DE,fuel_oil_1,
22/09/2025,DE,fuel_oil_2,1026.6
22/09/2025,DK,exchange_rate,0.133985396
22/09/2025,DK,euro95,1966.9
22/09/2025,DK,diesel,1741.8
22/09/2025,DK,heading_oil,1748.8
22/09/2025,DK,fuel_oil_1,1537.7
22/09/2025,DK,fuel_oil_2,
22/09/2025,DK,LPG,
22/09/2025,EE,exchange_rate,1
22/09/2025,EE,euro95,1421
22/09/2025,EE,diesel,1282
22/09/2025,EE,heading_oil,1003
22/09/2025,EE,fuel_oil_1,
22/09/2025,EE,fuel_oil_2,
22/09/2025,EE,LPG,896
22/09/2025,ES,exchange_rate,1484.3
22/09/2025,ES,euro95,1411.9
22/09/2025,ES,diesel,895.2
22/09/2025,ES,heading_oil,555.8
22/09/2025,ES,fuel_oil_1,
22/09/2025,ES,fuel_oil_2,938.6
22/09/2025,FI,exchange_rate,1772
22/09/2025,FI,euro95,1664
22/09/2025,FI,diesel,1276
22/09/2025,FI,heading_oil,
22/09/2025,FI,fuel_oil_1,
22/09/2025,FI,fuel_oil_2,
22/09/2025,FR,exchange_rate,1728.7
22/09/2025,FR,euro95,1617.1
22/09/2025,FR,diesel,1111
22/09/2025,FR,heading_oil,
22/09/2025,FR,fuel_oil_1,
22/09/2025,FR,fuel_oil_2,953.5
22/09/2025,GR,exchange_rate,1757
22/09/2025,GR,euro95,1544
22/09/2025,GR,diesel,
22/09/2025,GR,heading_oil,667.8
22/09/2025,GR,fuel_oil_1,
22/09/2025,GR,fuel_oil_2,
22/09/2025,HR,exchange_rate,1
22/09/2025,HR,euro95,1489
22/09/2025,HR,diesel,1429
22/09/2025,HR,heading_oil,850
22/09/2025,HR,fuel_oil_1,604.6
22/09/2025,HR,fuel_oil_2,
22/09/2025,HR,LPG,835
22/09/2025,HU,exchange_rate,0.002570033
22/09/2025,HU,euro95,1504.1
22/09/2025,HU,diesel,1514.5
22/09/2025,HU,heading_oil,1514.5
22/09/2025,HU,fuel_oil_1,939.6
